Latitude,Longitude,Weather,Light_Condition,Road_Surface,Road_Function,Speed_Limit(MPH),Day,Month,Hour,Number_of_Vehicles,Intersection,Fatalities
34.252075,-119.2586278,Clear,Dark - Lighted,Dry,Minor Arterial,45.0,3,January,10:00pm-10:59pm,1,Not an Intersection,1
36.77938056,-119.8061056,Clear,Dark - Lighted,Dry,Minor Arterial,40.0,5,January,3:00am-3:59am,1,Not an Intersection,1
38.89698889,-121.4600056,Rain,Dark - Not Lighted,Wet,Major Collector,55.0,7,February,5:00am-5:59am,1,Not an Intersection,1
40.80467778,-124.1262611,Rain,Dark - Not Lighted,Wet,Other Principal Arterial,50.0,2,March,9:00pm-9:59pm,1,Not an Intersection,1
36.99149444,-121.702325,Cloudy,Dark - Not Lighted,Wet,Major Collector,55.0,15,January,5:00pm-5:59pm,1,Not an Intersection,1
34.00486111,-118.4736167,Clear,Dark - Lighted,Dry,Other Principal Arterial,30.0,12,January,1:00am-1:59am,1,T-Intersection,1
39.14999444,-121.0715278,Clear,Daylight,Dry,Local,49.0,8,March,11:00am-11:59am,1,Not an Intersection,1
39.74828889,-121.8531556,Cloudy,Daylight,Dry,Other Principal Arterial,30.0,12,January,7:00am-7:59am,1,Four-Way Intersection,1
37.74085,-121.5615917,Cloudy,Dark - Not Lighted,Dry,Interstate,65.0,27,January,7:00pm-7:59pm,2,Not an Intersection,1
36.34358889,-119.1344917,Cloudy,Daylight,Dry,Major Collector,55.0,3,March,3:00pm-3:59pm,1,Not an Intersection,1
33.28783889,-117.1506194,Clear,Daylight,Dry,Major Collector,70.0,31,January,7:00am-7:59am,2,Four-Way Intersection,1
39.17187778,-123.0112028,Rain,Daylight,Wet,Other Principal Arterial,55.0,3,March,12:00pm-12:59pm,2,Not an Intersection,1
35.32486944,-119.0252917,Clear,Dark - Lighted,Dry,Minor Arterial,45.0,9,February,11:00pm-11:59pm,3,Not an Intersection,2
38.52420278,-121.5216806,Clear,Dark - Not Lighted,Dry,Interstate,65.0,9,March,0:00am-0:59am,1,Not an Intersection,1
33.95081389,-117.2264222,Clear,Dark - Lighted,Dry,Minor Arterial,40.0,16,January,5:00am-5:59am,1,Four-Way Intersection,1
36.76951389,-119.7816111,Cloudy,Dark - Not Lighted,Dry,Major Collector,40.0,27,January,6:00pm-6:59pm,1,Not an Intersection,1
36.79648611,-119.8264694,Clear,Dark - Lighted,Dry,Major Collector,30.0,29,January,7:00pm-7:59pm,1,T-Intersection,1
36.77213056,-119.8031389,Clear,Dark - Lighted,Dry,Major Collector,40.0,10,February,10:00pm-10:59pm,2,Not an Intersection,1
36.75154444,-119.7892917,Clear,Dark - Not Lighted,Dry,Minor Arterial,35.0,21,February,10:00pm-10:59pm,1,Not an Intersection,1
36.80587222,-119.8894556,Clear,Dark - Lighted,Dry,Minor Arterial,35.0,26,February,10:00pm-10:59pm,1,Not an Intersection,1
36.70687778,-119.7977972,Clear,Dark - Lighted,Dry,Minor Arterial,40.0,14,March,4:00am-4:59am,1,Not an Intersection,1
40.52051111,-124.1455111,Rain,Dark - Not Lighted,Wet,Other Principal Arterial,65.0,21,January,10:00pm-10:59pm,2,Not an Intersection,3
36.79039167,-119.7905806,Clear,Dark - Lighted,Dry,Minor Arterial,40.0,6,January,2:00am-2:59am,1,Four-Way Intersection,1
37.63935556,-121.2535917,Cloudy,Dark - Not Lighted,Dry,Other Principal Arterial,55.0,19,January,9:00pm-9:59pm,2,Not an Intersection,1
38.72228889,-121.1747861,Rain,Daylight,Wet,Other Principal Arterial,55.0,1,March,3:00pm-3:59pm,1,Not an Intersection,1
37.62111667,-121.2769194,Clear,Dark - Not Lighted,Dry,Minor Arterial,55.0,7,March,4:00am-4:59am,1,Not an Intersection,1
38.66323611,-121.8156361,Clear,Dark - Not Lighted,Dry,Major Collector,55.0,10,March,0:00am-0:59am,1,Not an Intersection,1
34.06145278,-117.7502944,Clear,Dark - Lighted,Dry,Minor Arterial,30.0,1,January,1:00am-1:59am,1,Not Reported,1
33.91009444,-117.2173528,Rain,Dark - Lighted,Wet,Major Collector,40.0,5,February,10:00pm-10:59pm,3,Four-Way Intersection,2
33.83228889,-116.5033056,Clear,Dark - Lighted,Dry,Other Principal Arterial,50.0,27,February,0:00am-0:59am,4,Not an Intersection,1
